"Hash","Bytes","SourcePath","DestPath","LastWrite"
"4F791C7E5CD202BCF369831D9E9A5FB2426D1D7D33C8BCB0609797BF5ADFC4A2","1424455680","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL FIN DEL UNIVERSO (LA HISTORIA DEL UNIVERSO).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL FIN DEL UNIVERSO (LA HISTORIA DEL UNIVERSO).m2ts","2015-01-22 19:42:14"
"F1C1C8B3F47ECB1F8F9E264CBF0BB659AC0A634EE34C283785DA57855B214A0D","1441308672","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL FUTURO DE LA EVOLUCION HUMANA SON LOS ROBOTS (SECRETOS DEL UNIVERSO) .m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL FUTURO DE LA EVOLUCION HUMANA SON LOS ROBOTS (SECRETOS DEL UNIVERSO) .m2ts","2014-03-13 14:22:08"
"EEEFA506D2B9E9E75B63621A029498E7FB3D149EB2CA3AD4F5FB45CC67A74057","1541836800","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL FUTURO OSCURO DEL SOL (EL UNIVERSO CANAL HISTORIA).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL FUTURO OSCURO DEL SOL (EL UNIVERSO CANAL HISTORIA).m2ts","2012-08-20 22:26:16"
"27F4EF634AD57865EFBEE55B7F6CDD46B815C11D3F1327FDC9258AD1BC613F64","1422047232","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL GRAN TELESCOPIO (EL TELESCOPIO DISCOVERY CHANNEL).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL GRAN TELESCOPIO (EL TELESCOPIO DISCOVERY CHANNEL).m2ts","2014-10-05 20:07:21"
"10F8861CB52E071CAB029C17BEF64EAA9616C600B030CD89260CE43F7A46483B","3098148864","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL HOMBRE BIONICO (LA ERA DE LOS ROBOTS).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL HOMBRE BIONICO (LA ERA DE LOS ROBOTS).m2ts","2016-05-18 22:54:03"
"7FB8835B17192F7283BD771EC7D1A5AA2911EF5637555642DEBACAEE2B6B5139","1078192128","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL HOMBRE CYBORG (TV2).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL HOMBRE CYBORG (TV2).m2ts","2013-01-20 12:42:21"
"14061116F4894E54232F2804B3D4CFD97BAD898D74BC96B9F1719D448513CEAD","1787602944","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL HOMBRE MEJORADO (NANOTECNOLOGIAS).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL HOMBRE MEJORADO (NANOTECNOLOGIAS).m2ts","2014-09-22 19:12:18"
"6308439E64348E5C36DBEE6F6EA69746DF94FA327615936265228508E8545F78","4589555712","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL IMPACTO DE UN ASTEROIDE (NATIONAL GEOGRAPHIC HD).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL IMPACTO DE UN ASTEROIDE (NATIONAL GEOGRAPHIC HD).m2ts","2012-09-02 18:16:21"
"B1809964A6A6262E0D3D69ADF174A46C650C146445DE0C1AEFC740626D977F32","3008280576","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL INTERIOR DEL PLANETA TIERRA (DISCOVERY CHANNEL).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL INTERIOR DEL PLANETA TIERRA (DISCOVERY CHANNEL).m2ts","2013-01-02 21:19:40"
"485133747EF0B69B8190477962F07241A5C04EC75DAB07A8921DE92DC5C7EB4F","3893975232","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS FRIO (MATERIALES DE ULTIMA GENERACION T.2).mp4","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS FRIO (MATERIALES DE ULTIMA GENERACION T.2).mp4","2014-03-22 11:56:36"
"C157DDEE898F5C9CEDE03136684822A4BAA47B40297D57FD1BA2D86D1A05229D","1781286912","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS FUERTE (MATERIALESDE ULTIMA GENERACION).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS FUERTE (MATERIALESDE ULTIMA GENERACION).m2ts","2013-06-06 20:39:57"
"9FD6317A017F275128A9865144D485720539ABB4F8FD10C80C3AF138894541C4","1813831680","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS INTELIGENTE (MATERIALES DE ULTIMA GENERACION).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS INTELIGENTE (MATERIALES DE ULTIMA GENERACION).m2ts","2013-05-24 19:31:08"
"1CE66174157CDEF33A7BCCB7347268157072E40738C7E10226F05CB468F8845A","1796419584","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS LIMPIO (MATERIALES DE ULTIMA GENERACION).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS LIMPIO (MATERIALES DE ULTIMA GENERACION).m2ts","2013-05-19 18:58:19"
"B2FA5AB08272A89DBD65949B29407BA865B45200F29CDBE6A1B27FD94EAE3A15","1809395712","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS PEQUEÑO (MATERIALES DE ULTIMA GENERACION).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS PEQUEÑO (MATERIALES DE ULTIMA GENERACION).m2ts","2013-05-13 08:23:46"
"112BA9723BBFA512C395C554ABF47E1C6608B164EDC3428F0BFE6ECB2EC916C3","4582127616","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS RAPIDO (MATERIALES DE ULTIMA GENERACION T.2).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS RAPIDO (MATERIALES DE ULTIMA GENERACION T.2).m2ts","2014-03-22 16:38:56"
"3621C834DD641ABDEE203AC23831729F6E360BB387AD89428E21330764E6E2BD","2300036876","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS SALVAJE (MATERIALES DE ULTIMA GENERACION T.2).mp4","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS SALVAJE (MATERIALES DE ULTIMA GENERACION T.2).mp4","2014-03-22 19:44:21"
"BCF173DE94EF0ACA4EFDC393232F8740A68F1C2B86EA79F73AC60FD8E4E82EB7","4593395712","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS SEGURO (MATERIALES DE ULTIMA GENERACION T.2).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL MAS SEGURO (MATERIALES DE ULTIMA GENERACION T.2).m2ts","2014-03-28 16:22:35"
"3EAFEC04577974D3845136EAD4868BE37D871AB5D915E558643B4280D4E09486","1664385024","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL MEJOR DE LOS MUNDOS (NANOTECNOLOGIAS).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL MEJOR DE LOS MUNDOS (NANOTECNOLOGIAS).m2ts","2014-09-22 19:18:44"
"C9AE194288D638D943812D4BA5B2665C8C8DEA43D9E0294651B8401F01EDFDB6","1700567040","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL METRO DEL FUTURO (EL MUNDO DEL MAÑANA).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL METRO DEL FUTURO (EL MUNDO DEL MAÑANA).m2ts","2013-01-11 14:52:24"
"EF74B226B09D519635BD3196C7487AC88A1B6264102C2DDD671BAD2582FC3369","1101895680","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL MISTERIO DE LA MATERIA OSCURA (TV 2).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL MISTERIO DE LA MATERIA OSCURA (TV 2).m2ts","2016-03-27 12:57:49"
